Date,User,Tweet
,,Egzodus nad srpskim življem na Kosmetu je zaista nedopustiv. Kosovo i Metohija je kolevka postajanja srpske drzave. https://t.co/YXhOKxKmXJ
,,"@nameles20543331 @kos_data Hahahah look at the RETARD arguments. We have the best coast in balkans, best beaches Even serbians come every summer giving us money😂😂 Makedonia Montenegro Greece Albania Kosova Italy. We Are LITERALLY EVERYWHERE. Serbians? Only in filthy Serbia and Bosnia 😂😂😂🤡🤡🤡"
,,"RT @BeckFreenMagic: @kieutou_serbia GL POWER, MAY LONG IT CONTINUE.

THE LOYAL PIN IN OUR HEART
#ปิ่นภักดิ์ไม่ยอมพั"
,,"@kieutou_serbia We did it baby

FREENBECKY WIN Y ENT AWARDS
#FBWinYEntAwards2024
#YEntAwards2024xFreen"
,,RT @herqles_es: 🇷🇸 #ÚltimaHora | Tensión en las calles de ‘Kosovo’ después que el ‘Gobierno’ del territorio haya acusado a Serbia de volar…
,,"RT @Symph2onic: @RecAnja Ako ne budemo pažljivi i pametniji od naših staraca tako će za 50 godina neko reći -
Izeš narod koji je u stanju d…"
,,"@PureMalice6 @srbojebac_KS @MyLordBebo Serbia and Russia knowing to confidently go on a “3 day military operation” and lasting over 3 years over 750K ruzzkies and zerbs dead.

Yes, very good brothers.

Strong only against unarmed civilians.

Clowns"
,,"RT @Harry__Faulkner: A bunch of Albanians took over Yonge-Dundas Square last night in Toronto. 

If these Albanians love Albania so much, w…"
,,RT @StateDeptSpox: We condemn the 11/29 attack on Kosovo’s water supply. We will support efforts to find and punish those responsible and a…
,,"@kieutou_serbia I CAN'T BELIEVE HOW INTENSE AND HOW LONG THIS SCENE WAS 🤭

THE LOYAL PIN IN OUR HEART
#ปิ่นภักดิ์ไม่ยอมพัก
#ฟรีนเบค #FreenBecky"
,,@kieutou_serbia Omg... Why not in Riyadh? Waaaaah
,,"@hsczbnsdwv @NATO_KFOR @GermanAmbKOS @GermanyDiplo @francediplo_EN @ItalyMFA_int @FranceauKosovo @ItalyinKosovo No, they know it is staged and that KLA terrorists are desperate to start a conflict. If Serbia wanted to do something, they could redirect the Ibar flow. No need to blow up shit... A panthetic attempt at a false flag. Just like Nord stream by the same CIA warmongers..."
,,@Nikodim17418689 @Vukan79 Izdali ste Kosovo naprednjaci.
,,"@kieutou_serbia We did it baby

FREENBECKY WIN Y ENT AWARDS
#FBWinYEntAwards2024
#YEntAwards2024xFreen"
,,"Durmishi: Ibër-Lepenc Water Canal Bypass to Be Completed This Week

#KosovoSecurty #IbërLepenc #WaterCanal #BypassRepair

https://t.co/BhsgJFh7lT"
,,"RT @bitcoinmenaconf: 🇷🇸 PRINCE FILIP OF SERBIA: ""Every country will eventually adopt #Bitcoin"" https://t.co/o81l5e71BT"
,,"Shpërthimi në Ibër Lepenc, Kurti sot i adresohet popullit sërish
https://t.co/wfCP7MqfDl"
